Title,First name,Last name,Email,Phone number,Address line 1,Address line 2,Address line 3,Postcode,Date of birth,Gender,Nationality,T shirt size,Visa expiry,Emergency contact phone,Position,Location,Main Schedule,Start Date,Finish Date,Payroll Department,Pay Rate Hourly,Pay Rate Weekly
Ms.,John,Potter,klee@hotmail.com,039.605.7985x3517,19257 Brooke Port Suite 045,Nelsonborough,Massachusetts,74160,29/05/1968,Female,Irish,L,09/04/2032,618-489-1654x828,Barman,Manchester,FRONT KITCHEN,14/12/2022,31/08/2025,Hourly,18,
Ms.,John,Wu,rkelley@yahoo.com,+1-358-101-7937,64818 Lisa Pine Suite 268,East Jessicaside,Louisiana,98973,16/07/1995,Female,Polish,XL,21/12/2033,7956712892,Barman,Manchester,FRONT KITCHEN,04/01/2023,06/08/2025,Hourly,9,
Ms.,Anthony,Anderson,parrishpaul@johnson-perez.com,(792)886-1180x29795,63393 Melissa Walk Suite 993,North Johnport,Maine,30890,07/11/1976,Male,Irish,S,25/02/2030,533.041.3590x287,Barman,Surrey,COLD KITCHEN,25/06/2023,15/07/2025,Hourly,10.5,
Mr.,Jenna,Mejia,cameroncharles@galloway.com,(151)743-9033,918 Marquez Parkways Suite 012,East Michellemouth,North Carolina,34447,08/11/1983,Male,Irish,XL,29/04/2030,(633)911-2155x7656,Barman,Manchester,HOT KITCHEN,12/12/2023,22/12/2025,Hourly,13,
Ms.,Benjamin,Berry,sarah85@gmail.com,(549)459-2879,65030 Perez Mountains,New Vicki,Nebraska,46318,24/12/1975,Male,Korean,XL,23/06/2025,898-416-9851x531,Manager,Surrey,DIM SUM CK,10/11/2023,07/01/2025,Hourly,18,
Ms.,Anthony,Mccann,meagan46@decker-williams.info,428-890-5228,11044 Fred Estates Apt. 992,Lisaberg,West Virginia,62358,16/06/1994,Female,Irish,M,27/06/2029,+1-592-106-4859x16014,Front of house,Surrey,DIM SUM CK,17/12/2023,24/08/2025,Hourly,9,
Ms.,Danielle,Dillon,briannayang@yahoo.com,2539522988,16211 Owen Underpass Apt. 931,West Dylanfurt,Maine,9356,14/08/1964,Female,Irish,S,31/05/2031,(659)121-2798x9082,Front of house,Manchester,HOT KITCHEN,05/01/2023,08/12/2025,Hourly,10.5,
Ms.,Diana,Brown,jacksonjacqueline@fox.org,(831)535-2809x8843,925 Mary Ridges Apt. 439,Zacharymouth,Arizona,62888,11/03/1976,Male,English,XL,12/06/2030,271.901.1504x40510,Barman,Surrey,RECEPTION,21/12/2022,17/06/2025,Hourly,13,
Ms.,Amanda,Garcia,velazquezjennifer@gmail.com,001-187-004-8997x68333,58443 Kayla Parkways,New Garyville,Nevada,30610,30/04/1965,Female,Irish,XXL,26/01/2027,624-563-2728,Front of house,Durham,BACK KITCHEN,18/07/2022,22/07/2024,Hourly,18,
Ms.,Nancy,Figueroa,lopezrenee@bryant-morales.org,317-504-5187x5992,851 Ray Tunnel Suite 382,Lake Luis,Georgia,43580,07/06/1972,Male,English,XXL,28/12/2030,1035092246,Manager,Manchester,HOT KITCHEN,09/06/2023,27/01/2025,Hourly,9,
Mr.,Christopher,Harris,brittanypatterson@yahoo.com,(816)984-6278x883,94793 Candace Dam Apt. 194,Brandonburgh,North Carolina,5529,06/02/2002,Male,Irish,M,19/03/2032,1247937318,Manager,London,BACK KITCHEN,10/06/2023,01/08/2024,Hourly,10.5,
Ms.,Joann,Kim,mortonkenneth@gmail.com,227.208.0607x668,458 Kim Plains,Lemouth,Louisiana,40764,07/12/1981,Male,Irish,L,25/07/2028,(264)571-4020,Front of house,Manchester,FRONT KITCHEN,01/05/2023,19/09/2025,Hourly,13,
Mr.,Ruth,Schultz,davidjohnson@yahoo.com,(928)599-8143x7240,144 Sherry Track Apt. 335,North Mary,Arizona,83895,14/12/1987,Female,Irish,M,11/09/2033,001-769-540-5130,Front of house,Manchester,BAR,07/06/2023,08/12/2024,Hourly,18,
Mr.,Matthew,Drake,vbrooks@banks.com,484-000-3383x1473,3990 Rowland Stream,New Renee,Massachusetts,50792,19/01/1972,Male,Chinese,M,04/05/2032,+1-063-846-8076x9834,Front of house,Manchester,HOT KITCHEN,29/06/2023,11/07/2025,Hourly,9,
Ms.,Janice,Mclaughlin,jacksonsteven@yahoo.com,5064213455,84553 Summers Rest Apt. 427,Shortberg,Oklahoma,13040,11/06/1990,Female,Polish,S,14/03/2029,780.526.3311x0294,Barman,Durham,HOT KITCHEN,23/04/2023,28/11/2024,Hourly,10.5,
Ms.,Alexander,Jackson,courtney29@yahoo.com,+1-983-407-5719x2654,664 Clay Brook,Lake Hunter,Kansas,24868,06/02/1986,Male,English,XL,03/05/2032,476.620.1932x99921,Barman,Durham,BAR,18/10/2022,16/12/2025,Hourly,13,
Ms.,Brittany,Andersen,tinathompson@foster-martin.com,037.352.7823x83362,006 Meredith Brooks Apt. 149,Port Kathryn,Delaware,54299,03/04/1999,Male,Korean,XL,20/08/2025,001-730-769-9502x102,Barman,Surrey,FRONT KITCHEN,05/03/2023,25/07/2024,Hourly,18,
Mr.,Jessica,Hatfield,tgreen@rush.biz,098.600.9047x3573,9197 Brooke Unions Suite 955,Kristenmouth,Arkansas,45254,19/08/1994,Female,Polish,S,09/09/2032,9981679843,Barman,Durham,BACK KITCHEN,02/10/2023,23/09/2024,Hourly,9,
Ms.,Nicole,Singleton,brian98@jones.info,(803)564-1505x35674,5050 Jones Street,New Justinview,North Dakota,75794,13/04/1972,Male,Irish,L,29/05/2027,+1-124-346-6150x7276,Front of house,London,RECEPTION,19/08/2022,22/11/2024,Hourly,10.5,
Ms.,Kristin,Moreno,brownshane@yahoo.com,418.876.6204x99019,447 Scott Valley Apt. 872,Jessicamouth,Arizona,91633,14/11/1963,Male,Irish,S,10/10/2028,+1-551-962-8748x54342,Front of house,Durham,COLD KITCHEN,27/07/2023,07/04/2025,Hourly,13,
Ms.,Rachel,Bernard,francislisa@yahoo.com,(605)249-5607x274,52266 Garcia Port,North Margaret,West Virginia,72201,20/07/1969,Female,Polish,XXL,05/07/2032,404-502-2090x13035,Manager,London,RESTAURANT,23/10/2023,18/12/2025,Hourly,18,
Ms.,Joel,Tran,bobbyjefferson@johnson.com,+1-273-835-9265x841,782 Estes Falls,Leblancview,Nebraska,57484,25/04/1973,Male,Irish,XXL,14/11/2026,867.942.5258,Front of house,London,BAR,13/08/2023,08/08/2024,Hourly,9,
Mr.,Donald,Bailey,mpeters@hotmail.com,510-935-6063,612 Davis Knoll,Lake Amyton,South Dakota,17705,07/06/1987,Male,Polish,L,18/10/2030,340.696.8464x2739,Manager,Durham,BAR,06/08/2023,05/10/2025,Hourly,,400
Mr.,Juan,Silva,steve68@gmail.com,107-921-2432,03497 Moore Extension,South Julie,Connecticut,45151,21/10/1958,Male,Korean,L,13/01/2027,411-223-4905x136,Front of house,Surrey,COLD KITCHEN,24/12/2023,12/01/2025,Salary,,500
Ms.,George,Jones,jennifer00@gmail.com,+1-332-306-3059x399,05791 Marilyn Ports Suite 053,Davidview,California,89620,08/03/1975,Female,Ukrainian,L,07/03/2027,852.132.3172,Manager,Durham,DIM SUM CK,18/03/2023,11/10/2025,Salary,,359
Ms.,Nicholas,Hart,benderbenjamin@hotmail.com,995.251.2223x293,26458 Jeffrey Freeway,North Ryan,Georgia,84723,08/12/1978,Female,Polish,L,26/10/2028,1359775381,Manager,London,DIM SUM CK,17/07/2022,27/11/2025,Salary,,434
Ms.,Tricia,Donovan,bphelps@chang.com,(271)682-9201,0935 Tammy Run,West Ronald,Georgia,25681,22/01/1999,Female,English,L,14/07/2027,654-452-3972,Barman,Manchester,DIM SUM CK,23/11/2023,17/07/2024,Salary,,400
Mr.,Bethany,Hernandez,kellyhooper@reeves.com,439.057.3563,72461 Ellen Spur Suite 703,West Jessehaven,Montana,26134,04/11/1971,Male,Irish,M,05/09/2027,+1-725-628-6786x400,Manager,Surrey,BAR,28/08/2023,01/08/2025,Salary,,500
Ms.,Kristin,Wyatt,coreyadams@brewer.com,(930)762-5550x63832,942 Kristy Street,Sellersport,New Hampshire,35514,30/01/1994,Female,Polish,XXL,20/05/2028,(120)760-7756,Barman,London,RESTAURANT,28/11/2022,10/02/2025,Salary,,359
Ms.,Jessica,Burns,petersonbrent@yahoo.com,+1-286-442-7975x1841,84037 Christine Field,South Frederick,Maryland,72059,24/09/1995,Male,English,S,16/11/2031,(512)397-0499x464,Barman,London,BACK KITCHEN,25/11/2023,08/05/2025,Salary,,434
Ms.,Timothy,Johnston,matthewcharles@rice.com,488.139.4045x700,11639 Cheryl Skyway Apt. 774,Stephenport,New Jersey,43469,18/03/1963,Female,Irish,M,08/01/2026,+1-823-422-2454x06529,Front of house,London,BAR,11/08/2023,19/01/2025,Salary,,400
Ms.,Kelly,Clark,ramirezcindy@gmail.com,(701)282-4851x21934,5271 Cathy Isle,Crawfordside,West Virginia,42290,15/07/1970,Male,Irish,L,06/11/2033,(623)955-9356x1567,Manager,Surrey,BACK KITCHEN,09/07/2023,02/02/2025,Salary,,500
Mr.,Tyrone,Williams,lisa83@yahoo.com,001-158-980-7198,89165 Matthew Ports Apt. 335,North Lawrence,Idaho,25761,07/01/1975,Female,Irish,L,25/04/2029,570-073-6964,Front of house,London,FRONT KITCHEN,08/01/2023,30/10/2024,Salary,,359
Ms.,Meredith,Hanna,riverahannah@gmail.com,461-190-1916x7419,8682 Austin Freeway,West Kyle,Nebraska,29364,18/11/1998,Male,English,XXL,15/11/2029,9026944505,Barman,Durham,COLD KITCHEN,06/09/2023,12/02/2025,Salary,,434
Mr.,David,Brown,robinsondebra@gonzalez.com,685.312.3208,0243 Howard Greens Apt. 304,South Carlosstad,Michigan,58572,19/05/2005,Male,Polish,L,12/01/2031,804-938-7570x711,Manager,Surrey,RECEPTION,24/12/2022,20/09/2024,Salary,,400
Ms.,Virginia,Arnold,michael31@conley.com,+1-380-889-1314x9476,9256 Hardy Land,East John,Maine,89611,20/04/1972,Male,Irish,XL,21/08/2030,+1-969-632-1505x73036,Front of house,Durham,RECEPTION,24/08/2022,13/06/2025,Salary,,500
Ms.,Michael,Wagner,daniel17@floyd.biz,793-474-1418x82338,8680 Lance Tunnel,North Laura,Nebraska,14575,21/02/1996,Male,Irish,XL,30/04/2030,+1-689-188-8521x3644,Manager,Surrey,RECEPTION,18/12/2023,18/08/2025,Salary,,359
Mr.,Scott,Perez,nelsonjulian@gmail.com,001-080-396-5605,010 Gray Creek,Mejiamouth,Minnesota,92975,11/03/1960,Male,Irish,L,15/11/2031,986.750.4869x0493,Manager,Surrey,HOT KITCHEN,28/12/2023,08/10/2025,Salary,,434
Ms.,Justin,Singh,benitezsusan@yahoo.com,001-027-422-5620x72965,16276 Zachary Mall,North Victor,Utah,18936,11/03/1969,Male,Ukrainian,XL,07/09/2029,(504)154-5150,Front of house,Surrey,BACK KITCHEN,14/04/2023,30/05/2025,Salary,,400
Mr.,Roberta,Moore,award@hart.com,507-089-2632x4158,615 Hendricks Springs,North Bryce,Indiana,40446,02/06/1985,Male,Irish,XL,07/09/2030,(217)843-8933x394,Manager,Surrey,DIM SUM CK,01/08/2023,05/10/2025,Salary,,500
Ms.,Heidi,Carter,alexanderkeith@gmail.com,9011911364,2906 Hill Ferry Suite 505,New Christina,Oregon,2838,27/05/1984,Male,Chinese,M,18/12/2030,+1-358-114-1045x4346,Barman,Durham,BACK KITCHEN,26/02/2023,12/07/2024,Salary,,359
Ms.,Diana,Walker,ryannorman@hotmail.com,526.353.8416,179 Carpenter Manor Apt. 563,New Stephanie,Idaho,21512,08/09/2005,Male,Irish,M,04/11/2032,320.967.6928x80614,Front of house,Manchester,BAR,25/05/2023,18/06/2025,Salary,,434
Ms.,Michael,Sanders,tmartinez@carr-snow.com,208.834.7667,5425 Sherry Cove,Donnabury,West Virginia,78380,10/06/1998,Female,English,M,27/02/2029,001-763-024-6718,Barman,Manchester,COLD KITCHEN,10/08/2023,19/07/2025,Salary,,400
Ms.,Gloria,Johnson,hbuckley@miller.org,001-390-150-3302,135 Hall Island,Lake Hannah,Michigan,93788,22/08/2004,Male,Irish,S,14/06/2032,+1-721-153-3026x01287,Front of house,Durham,RESTAURANT,01/08/2023,01/06/2025,Salary,,500
Ms.,Brian,Powell,robin10@barber.com,(165)874-3004,363 Sullivan Well Suite 912,Walkerberg,Kentucky,30096,06/09/1964,Male,Polish,S,15/11/2030,517.914.9581,Front of house,Durham,HOT KITCHEN,19/04/2023,22/10/2024,Salary,,359
Ms.,William,Brown,cherylrich@yahoo.com,001-178-846-4590x3091,317 Sarah Hill,Allenshire,Indiana,12164,24/07/1970,Female,Irish,XL,27/01/2030,(234)079-4198,Barman,Durham,COLD KITCHEN,28/12/2023,04/10/2024,Salary,,434
Ms.,Sara,Stewart,tylerjohnson@rosario.biz,381.513.8488x179,628 Gary Mission,Salinasborough,Colorado,9873,08/02/1993,Female,Irish,L,22/06/2029,489-767-2123x67281,Barman,Manchester,FRONT KITCHEN,24/10/2023,22/03/2025,Salary,,400
Ms.,Jessica,Fowler,alexanderlawrence@jenkins.biz,978-845-5331x8022,41875 Morrison Dale,Khanview,South Dakota,99396,13/04/1968,Female,Irish,XL,23/11/2031,4532576159,Manager,Durham,HOT KITCHEN,17/09/2022,05/12/2024,Salary,,500
Mr.,Meghan,Pratt,brownsamuel@hall-phillips.com,001-603-811-2076x3534,18812 Flores Plains,Barrettmouth,Nebraska,54799,21/11/2004,Male,Irish,XL,01/09/2032,195.363.3838x574,Barman,Manchester,DIM SUM CK,04/11/2022,05/12/2025,Salary,,359
Mr.,Brandon,Allen,banderson@cantrell.info,+1-568-334-8294x916,7253 Mccoy Run,North Monicaville,North Dakota,24853,26/10/1987,Female,Irish,L,10/11/2028,9322412458,Barman,Manchester,COLD KITCHEN,09/03/2023,18/03/2025,Salary,,434
Mr.,Amber,Caldwell,whill@hess.com,001-534-289-6029,974 Snyder Estates Suite 053,South Lindahaven,Oklahoma,53277,24/03/1969,Male,English,L,27/05/2032,(034)617-8778x74677,Barman,Manchester,FRONT KITCHEN,30/08/2023,31/07/2024,Salary,,400
Ms.,Christina,Andrews,perezdavid@gmail.com,+1-725-577-7020x90140,6085 Hancock Squares Apt. 602,East Ronald,Massachusetts,23795,02/11/1979,Male,Irish,L,16/03/2028,001-275-481-6557x483,Manager,Durham,RECEPTION,11/04/2023,20/11/2024,Salary,,500
Ms.,Robert,Meza,nicholasbean@whitney.net,358839627,41337 Boyd Rapid Suite 819,South Curtisburgh,Idaho,6111,26/12/2000,Male,Polish,XL,01/10/2032,512-763-2982x7103,Front of house,Durham,FRONT KITCHEN,30/08/2023,25/10/2024,Salary,,359
Ms.,Robert,Glenn,boylemalik@kemp-stevens.com,(207)128-0427,2404 Patricia Brooks Apt. 314,North Jonathan,Indiana,56623,07/01/1992,Male,Irish,M,28/06/2032,001-516-277-5566,Manager,Durham,BACK KITCHEN,31/07/2023,04/02/2025,Salary,,434
Mr.,Henry,Mcgee,rlindsey@blake.com,001-555-440-8485x11233,861 Thomas Estate Apt. 492,Brooksfort,Illinois,3857,25/01/1990,Female,Irish,L,27/07/2025,+1-721-625-0119x49843,Manager,Surrey,RESTAURANT,13/01/2023,21/08/2025,Salary,,434
